flight_name,latitude,longitude,altitude,waypoint_index
Flight_1,-77.95611956242324,74.35189432212147,2535,1
Flight_1,-4.619915555368209,-177.8939662416506,1645,2
Flight_1,12.901918165022721,-7.640414561053291,1055,3
Flight_2,-34.82622841594651,37.884716971003826,522,1
Flight_2,19.97503413685878,-168.7433550146609,487,2
Flight_2,45.641799344001555,15.59267459251501,1075,3
Flight_3,17.272599544419634,-31.292756897356384,2717,1
Flight_3,-79.04449457090834,164.75729344011756,2658,2
Flight_3,10.211828039232174,127.88678562698897,911,3
Flight_4,32.755438722603444,174.56301363472647,1040,1
Flight_4,66.8576148534165,18.342840005590546,2424,2
Flight_4,-73.25989360776143,-170.1856166230964,2615,3
Flight_5,-82.91160662361894,-6.928784992429428,1736,1
Flight_5,37.07982447966569,-149.71310552499548,2495,2
Flight_5,70.84488831293604,-61.45548372033507,1321,3
Flight_6,-16.74108456497703,-0.7806035160907072,119,1
Flight_6,23.915062265765414,-137.3657758382077,1185,2
Flight_6,-68.84886615625895,101.30457495866625,733,3
Flight_7,-22.048211006373947,-43.49055248964632,2598,1
Flight_7,-8.836068499536097,164.2002582931509,288,2
Flight_7,-5.54878929352185,-67.785175987553,242,3
Flight_8,-18.297786723589937,-172.30190814511468,2030,1
Flight_8,83.32380636473468,-45.46236045440904,1855,2
Flight_8,66.27980235331961,52.52288841502869,2108,3
Flight_9,-43.0894115635352,-109.06459895985259,1365,1
Flight_9,75.48711484228235,-102.22791611306381,1347,2
Flight_9,64.47141774377201,79.2025558203701,777,3
